prompt,response
"Pulse Knowledge, Attitudes, Practices, and Cooking Experience of Midwestern US University Students",Few college students are consuming pulses due to lack of familiarity with them.
The Public’s Attitudes For Protecting Steller Sea Lions,Few respondents differences between attitudes held by Alaskans versus other U.S. adults; majority of respondents appear to want to do more to protect western stock beyond current protections.
Diversifying meat consumption patterns: consumers self-reported past behaviour and intentions for change.,Finnish consumers have shifted towards more vegetables and less meat as a result of the economy.
When Science And Appetite Collide,"Finnish consumers of meat-based diets are not convinced by scientific evidence to change their eating habits, and those with little NFC arent as motivated to seek out health or nutrition information or to learn more about the environmental effects of food choices."
Over Half Of Finns Oppose Secret Fur Farm Footage,"Finns are opposed to covert video footage of farm animals, but overwhelmingly support animal welfare."
Comparison of Bacterial Community of Healthy and Erwinia amylovora Infected Apples.,"Fire blight disease may damage rosaceous plants, including apples, pears, and raspberries. In this study, the microbial community on apple rhizosphere was found to be stable regardless of infection but the communities in endosphere and episphere were significantly affected. Sugar metabolites were different between infected and healthy trees, indicating that the pathogen needs these metabolites to colonize host tissue."
Naturally occurring fire coral clones demonstrate a genetic and environmental basis of microbiome composition.,"Fire coral clones differ in bacterial communities between contrasting reef habitats, highlighting the contribution of the environment."
The Incidence Of Plastic Ingestion By Fishes,Fish and sharks bite plastic with high frequency.
What We Think Of Farmed Fish Intelligence,Fish are generally ranked as the lowest in terms of intelligence and ability to feel pain and pleasure.
"Inside Fish Minds: Cooperation, Cheating & Punishment","Fish are intelligent and challenge the hierarchy of animal consciousness that looks like a pyramid, with primates at the top."
Can ancestry and morphology be used as surrogates for species niche relationships?,Fish assemblages in two small streams in the Neotropics have similar diets and δ 15N and δ 13C values despite being phylogenetically and morphologically diverse.
Reprocessing seafood waste: challenge to develop aquatic clean meat from fish cells,Fish cells can be turned into clean meat without genetic manipulation.
The Social Lives Of Fishes,"Fish cognition and social behavior is increasingly being studied, revealing similarities between fish and other vertebrates."
Novel Insights on Intake of Fish and Prevention of Sarcopenia: All Reasons for an Adequate Consumption.,"Fish consumption has a protective and anti-inflammatory function on skeletal muscle, preventing sarcopenia."
What fisher diets reveal about fish stocks.,"Fish consumption in fishing villages in Brazil is changing, with lower trophic levels and smaller fish being consumed."
Pain perception in fish: indicators and endpoints,"Fish display aversive behavioral and physiological reactions, and can be considered capable of pain."
Functional Aspects Of Emotions In Fish,"Fish exhibit behaviors and physiological responses that suggest they may experience emotions, but it is unclear if these emotions have the same functions as emotions in other species."
Worldwatch Report: Farming Fish for the Future,Fish farming can help feed the global population and heal marine ecosystems from overfishing.
Farming Fish for the Future,"Fish farming is expanding, but has a net negative impact on seafood resources."
Fish Farm Escapes May Be Worse Than We Think,Fish farms in Norway produce more than 65% of the worlds supply of farmed Atlantic salmon. These fish pose a potential substantial risk to the countrys large population of wild river salmon.
Growth Performance and Adaptability of European Sea Bass (Dicentrarchus labrax) Gut Microbiota to Alternative Diets Free of Fish Products.,"Fish fed terrestrial plant-based diets supplemented with insect or yeast protein had better growth performance and ate more than fish fed a full vegetal formulation. This study suggests that insect or yeast protein can be used to replace fish-derived proteins in sustainable aquafeeds, without influencing gut microbial diversity."
Use of next generation sequencing to compare simple habitat and species level differences in the gut microbiota of an invasive and native freshwater fish species.,Fish gut microbiota varies according to species and habitat.
Factors Influencing Consumption of Farmed Seafood Products in the Pacific Northwest,"Fish is considered a healthy choice by Pacific northwest residents, and the wild-caught variety is preferred."
Cellular Aquaculture: Prospects and Challenges,"Fish muscle cell lines are essential for cellular aquaculture, but unavailability of equivalent permanent muscle cell lines has hindered progress."
Cellular Aquaculture: Prospects and Challenges.,"Fish muscle cell lines are important for cellular aquaculture, but currently unavailible."
"How Fish (Yes, Fish) Punish One Another","Fish punish one another in order to clean them, this study may be used by advocates as it shows fish have complex emotional lives."
Fishes And Facial Recognition,"Fish recognise each other based on vision alone, similar to humans."
Use of Conditioned Place Preference/Avoidance Tests to Assess Affective States in Fish,Fish remember events with positive/negative valence which are retrieved by environmental cues.
Fish Welfare In Research,"Fish research is often underemphasized in ethical considerations, despite the fact that compromised welfare will reflect in behavioral and physiological changes."
The Sentience and Feelings of Fish,"Fish suffer from many causes, including over-fishing, pollution, and the BP oil spill."
Fish Welfare In Indian Aquaculture: Research And Recommendations,"Fish suffer in intensive aquaculture, despite strong animal welfare regulations."
Cardio-Protective Properties and Health Benefits of Fish Lipid Bioactives; The Effects of Thermal Processing.,"Fish-derived lipid bioactives are beneficial for a vast range of chronic disorders, and have cardio-protective effects."
Management Effectiveness of the World’s Marine Fisheries,"Fisheries supply at least 15% of all animal protein consumed by humans, employ nearly 200 million people, and generate about $85 billion per year."
"Fishes, Sentience, And The Law",Fishes are suffering and this is contributing to rapid decreases in populations of tuna and mackerel.
Self-Awareness In Fishes: When Passing The Mirror Test Isn’t Enough,"Fishes show sophisticated cognitive abilities and fail the mirror test, but this does not mean they are not self-aware."
5 Healthy Food Trends Worth Following,"Five notable healthy food trends identified by Cooking Light magazine include flexitarianism, locally grown foods, organic foods, functional foods, and slow foods."
Natural flavonoid luteolin promotes the differentiation of porcine myoblasts through activation of PI3K/Akt/mTOR signaling,"Flavonoids have weak effects on promoting the proliferation of porcine myoblasts, but can increase the migration and differentiation of these cells."
Variations in the Strength of Association between Food Neophobia and Food and Beverage Acceptability: A Data-Driven Exploratory Study of an Arousal Hypothesis.,"Flavor- intense F&Bs (from other cultures, perceived as dangerous, or with novel ingredients), are disliked by people high in flavor neophobia."
Fortification of Chinese steamed bread with flaxseed flour and evaluation of its physicochemical and sensory properties.,Flaxseed flour is added to Chinese steamed bread to increase the nutritional value and edible acceptance.
A Review of Extraction Techniques and Food Applications of Flaxseed Mucilage.,"Flaxseed mucilage or gum has many health benefits, and can be used in food applications such as gelling agent/gel-strengthening agent, structure-forming agent, stabilizing agent, anti-retrogradation agent, prebiotic, encapsulating agent, edible coatings and films/food packaging material, and emulsifier/emulsion stabilizer."
Impact of Plant-Based Meat Alternatives on the Gut Microbiota of Consumers: A Real-World Study,Flexitarian consumers can improve their gut microbiota by replacing animal meat with plant-based products.
Leaf bacterial microbiota response to flooding is controlled by plant phenology in wheat (Triticum aestivum L.).,Flooding induced at different plant growth stages affected the composition of the leaf microbiota.
Public Opinions of Endangered Species in Florida,"Floridians have a generally positive attitude towards endangered species, and are willing to engage in activities to protect them."
flowDiv: a new pipeline for analyzing flow cytometric diversity.,"Flow cytometry is a widely used technology for analysis of numerous biological systems at the cellular level, from cancer cells to microbial communities. FlowDiv, an R language pipeline for analysis of environmental flow cytometry data, was developed to address common technical issues such as the integration of differently acquired datasets and the effective correlation of bins to previously known cytometric populations. The rationale for flowDiv and its application to a real dataset from 31 freshwater lakes in Patagonia, Argentina, reveal significant aspects of their cytometric diversities."
"Edible Flowers as a Source of Dietary Fibre (Total, Insoluble and Soluble) as a Potential Athletes Dietary Supplement.",Flowers are a good source of dietary fiber and total protein.
Fecal microbiota transplantation in the metabolic diseases: Current status and perspectives.,FMT alters the natural course of type 1 diabetes by modulating autoimmunity.
"Whole grain and high-fibre grain foods: How do knowledge, perceptions and attitudes affect food choice?",Focus groups were conducted to explore factors affecting consumer grain choice.
Conceptions of the body in obesity epidemic discourses,Food activist literature uses the stigmatization of fat to criticize industrialized food production.
Culinary Medicine and Nature: Foods That Work Together.,"Food and beverage preparations and choices can be used to prevent and treat disease, while also enhancing ones own natural ability to heal."
Principles and design scenarios for sustainable urban food logistics,"Food and nutrition systems are linked to all Sustainable Development Goals, and their transition toward social-ecological behavior patterns is crucial for an overarching sustainability transformation."
Role of Food Antioxidants in Modulating Gut Microbial Communities: Novel Understandings in Intestinal Oxidative Stress Damage and Their Impact on Host Health.,"Food antioxidants such as antioxidants vitamins, dietary polyphenols, carotenoids, and bioactive peptides have an impact on gut microbiome composition and health."
Consumer Perceptions Of Food Technology,Food biotechnology is supported by consumers when they believe it has potential environmental benefits and will improve sustainability.
"Food Bloggers on the Twitter Social Network: Yummy, Healthy, Homemade, and Vegan Food","Food bloggers communicate about healthy lifestyles, home-made foods, and fast food."
"Food Bloggers on the Twitter Social Network: Yummy, Healthy, Homemade, and Vegan Food","Food bloggers on Twitter communicated about healthy, homemade, and vegan food the most."
"Diet, Gut Microbiota, and Vitamins D + A in Multiple Sclerosis.","Food components have either pro- or anti-inflammatory effects and influence both the human metabolism and composition of gut microbiota. Hypercaloric, high-animal-fat Western diets favor anabolism and change gut microbiota composition towards dysbiosis, which leads to intestinal inflammation and leakage of the gut barrier. Conversely, a vegetarian diet rich in fiber is coherent with gut eubiosis, has health benefits, and requires sufficient vitamin A to bind to the vitamin D receptor and exert its anti-inflammatory action. Both vitamins must be supplied to subjects lacking vitamin D."
Food Activism and Citizens’ Democratic Engagements: What Can We Learn from Market-Based Political Participation?,Food democracy is being threatened by market-based logics across different forms of participation.
Characteristics And Influential Factors Of Food Deserts,Food deserts are areas where people have limited access to healthy food.
Food CPI And Expenditures: CPI For Food Forecasts,Food expenditures break down equally at home and out.
Food From Cloned Animals: A Bait And Switch?,"Food from cloned animals will be required to be labeled in California. Although there are no peer-reviewed safety studies on cloned meat, three inconclusive studies cover milk from cloned animals. Out of all surveyed people, a majority think that food from cloned animals is unsafe."
Design principles of food gels,Food gels have many advantages over their synthetic counterparts and may offer a more sustainable way to improve food quality and delivery of drugs and bioactives.
Escaping the Red Queen: Health as a corporate food marketing strategy,Food industry magazines in the UK focus on health and nutrition in order to create a credence goods differentiation strategy.
"Re-Evaluating Expertise: Principles for Food and Nutrition Security Research, Advocacy and Solutions in High-Income Countries.",Food insecurity researchers should commit to principles and values in order to improve solutions.
Food intake and its effect on the species and abundance of intestinal flora in colorectal cancer and healthy individuals.,Food intake is associated with different types of intestinal flora in healthy and cancer-prone individuals.
Mothers Values in Their Grocery Purchasing Decisions: A Q Method Study,Food labels serve as a form of communication between producers and consumers.
"Food Waste, Animal Products, And Greenhouse Emissions",Food lost and wasted at retail and consumer levels accounts for 31% of GHG emissions.
Children’s Fear Of New Foods May Be In Their Genes,"Food neophobia is the reluctance to try new foods, and this avoidance may have had an evolutionary advantage in preventing exposure to potentially toxic foods."
"The impact of sugar-related claims on perceived healthfulness, caloric value and expected taste of food products","Food packaging with sugar-related claims are perceived as healthier, less caloric, and less tasty than regular food."
"Sulfite preservatives effects on the mouth microbiome: Changes in viability, diversity and composition of microbiota.","Food preservatives, sulfites in particular, alter the composition of the microbiota found in saliva."
Advancements in 3D food printing: a comprehensive overview of properties and opportunities,"Food printing with 3D printing technology has many applications, but factors such as material properties and printing parameters need to be understood in order to create a successful food."
Clean Label Alternatives in Meat Products,Food producers are struggling to find a clean label alternative for nitrites and phosphates.
Estimating Dietary Intake from Grocery Shopping Data-A Comparative Validation of Relevant Indicators in Switzerland.,Food quality indicators such as the FSA-NPS DI are better at estimating nutritional quality than other indicators.
Reformulation of Pastry Products to Improve Effects on Health.,Food reformulation is needed to reduce the risk of chronic diseases associated with obesity.
How The Market For Animal-Friendly Food Products Works,Food retailers use the term animal welfare as a marketing term to differentiate their products.
"History Of Consumer Food Safety Education, Focus On Beef",Food safety education in the United States is delivered by the federal government through the US Food and Drug Administration (FDA) and the USDA.
"Food Safety Audits, And Food Safety Technology",Food safety technology is being used more in larger plants.
Distributing Summer Meals during a Pandemic: Challenges and Innovations.,"Food service directors in a northeastern state identified practices to increase participation in the summer meal program, which included working with community partners."
A Conceptual Framework for Food Sharing as Collaborative Consumption,Food sharing constitutes a collaborative consumption practice that can be viewed as a social practice theory.
Fast Food Sovereignty: Contradiction in Terms or Logical Next Step?,Food sovereignty is a vision of an alternative food system that emphasises greater democratic control over food production and distribution.
Importance of Health Claims in the Adoption of New Breakfast Cereal Products in the UK.,Food suppliers in the UK are working to increase the availability of breakfast cereals with healthy and nutritious attributes.
Food synthetic biology-driven protein supply transition: From animal-derived production to microbial fermentation,Food synthetic biology can provide a sustainable protein source.
"Food And Beverage 2012, A Taste Of Things To Come","Food trends shaping the future of the food and beverage industry include: premiumization, convenience, more out-of-home consumption, choice and selection, freshness, prepared food, regional pride and nationalism, health and nutrition, price growth pressure, regulation, M&A consolidation, attracting talent, corporate responsibility issues and supplier/retailer relationships."
"Sweet, Fat and Salty: Snacks in Vending Machines in Health and Social Care Institutions in Slovenia.","Food vending machines in health and social care institutions offer unhealthy snacks, with 86% of items considered lower quality or unhealthy by Food Standards Australia New Zealand."
Consumer-Related Food Waste: Role of Food Marketing and Retailers and Potential for Action,Food waste is a problem that is worsened by food marketing and retailing.
Impact of Food Origin Lactiplantibacillus plantarum Strains on the Human Intestinal Microbiota in an in vitro System.,Food-dwelling strains of Lactiplantibacillus plantarum have an impact on the human gut microbiota.
Developing a Messaging Graphic for Storage Times of Refrigerated Ready to Eat (RTE) Foods for a Consumer Food Safety Health Campaign,"Foodborne illness is on the rise in lower and middle income countries, and RTE food products are a potential vector for transmission."
Long-Term Dietary Patterns Are Reflected in the Plasma Inflammatory Proteome of Patients with Inflammatory Bowel Disease.,Foods high in sugar are associated with lower levels of FGF-19. A Mediterranean-style diet is associated with higher levels of FGF-19.
"Conflicting Messages on Food and Beverage Packages: Front-of-Package Nutritional Labeling, Health and Nutrition Claims in Brazil.","Foods with nutrition, health, and environment-related claims were more likely to be high in critical nutrients."
Microbial Community-Level Physiological Profiles and Genetic Prokaryotic Structure of Burned Soils Under Mediterranean Sclerophyll Forests in Central Chile.,"Forest fires alter soil microbial communities, which can have negative effects on ecosystem recovery following land burning."
Forget-me-not: History-less Mobile Messaging,Forget-me-not is a mobile messaging app without history. Participants expressed being lenient and relaxed about what they wrote.
Inhibition of sulfate-reducing bacteria with formate.,"Formate accumulates in the natural environment of the water droplets dispersed in oil, inhibiting sulfate-reducing microorganisms."
We break the cycle…: Motivations for prosocial advocacy among former gang members to end gang involvement.,Former gang members have a changing perspective and may be able to help deter others from joining gangs.
The Impact A Companion Animal Has On A Child,Forty-four percent of respondents stated theyre still affected by the loss of their childhood pet.
Evaluation Of A Novel Dog Adoption Program In Two US Communities,Foster dogs took longer to adopt but returned lower rates than shelter dogs.
Abnormal VLCADD newborn screening resembling MADD in four neonates with decreased riboflavin levels and VLCAD activity.,Four unrelated newborns with a false-positive NBS result for very-long-chain acyl-CoA dehydrogenase deficiency had biochemical profiles that resembled those of multiple acyl-CoA dehydrogenase deficiency.
"Comparison of Faba Bean Protein Ingredients Produced Using Dry Fractionation and Isoelectric Precipitation: Techno-Functional, Nutritional and Environmental Performance",FPR has superior functional properties and a lower environmental impact than FPI.
Carnitine Serum Levels in Frail Older Subjects.,Frail elderly subjects had lower levels of carnitine in their blood than robust elderly subjects. This might indicate that frailty is an indicator for lower levels of carnitine.
Effect of drying methods on physico-chemical and functional properties of chickpea protein concentrates,Freeze drying gave the lightest color and solubility-pH profile.
Fresh Mushroom Preservation Techniques.,"Fresh mushrooms are becoming more popular as a functional food, but they lose quality and have a short shelf life after harvest."
Global Appetite For Frog Legs Threatens Species,Frogs are being exported and consumed in large amounts around the world.
Eighth Annual Conference of inVIVO Planetary Health: From Challenges to Opportunities.,From challenges to opportunities: 8th annual conference of inVIVO discusses the complex interconnected ecological challenges of advancing global urbanization.
Chinese Consumers Attitudes and Potential Acceptance toward Artificial Meat.,"From the survey, it was found that 19.9% of Chinese would be willing to eat artificial meat, while 9.6% are unwilling to do so. There is a high chance that these percentages will change in the future as attitudes about artificial meat change. However, 87.2% of the participants are still willing to pay less for artificial meat than conventional meat. Additionally, 52.9% of Chinese respondents said that they would accept artificial meat as an alternative to conventional meat if it were safe, tasteful and nutritious."
Fruit and Vegetable Co-Products as Functional Feed Ingredients in Farm Animal Nutrition for Improved Product Quality,Fruit and vegetable processing co-products can be effectively used in farm animal nutrition as functional feed ingredients for the production of food products of improved quality.
Fruits and fruit by-products as sources of bioactive compounds. Benefits and trends of lactic acid fermentation in the development of novel fruit-based functional beverages.,Fruit matrices can be fermented by autochthonous or allochthonous LAB to produce new functional beverages.
Fungal fermentation inducing improved nutritional qualities associated with altered secondary protein structure of soybean meal determined by FTIR spectroscopy,FTIR spectroscopy was used to monitor chemical and molecular structural changes during soybean meal fermentation.
Successional Development of Fungal Communities Associated with Decomposing Deadwood in a Natural Mixed Temperate Forest.,Fungal communities in deadwood across a succession series changed with increasing pH or carbon to nitrogen ratio.
"Soil Fungal Community Composition Correlates with Site-Specific Abiotic Factors, Tree Community Structure, and Forest Age in Regenerating Tropical Rainforests.","Fungal community composition changes along secondary forest succession in Costa Rica, with different environmental conditions having larger effects on community structure."
Oxidative cross-linking of potato proteins by fungal laccases: Reaction kinetics and effects on the structural and functional properties,"Fungal laccases are more efficient at cross-linking potato proteins than potato protease inhibitors, and cross-linking of potato proteins can be achieved by laccase alone or with ferulic acid. Cross-linking of potato proteins has similar or slightly enhanced solubility, except for highly cross-linked proteins that exhibit reduced solubility. Generally, cross-linking of potato proteins improves the emulsification and foaming properties of the proteins."
From stale bread and brewers spent grain to a new food source using edible filamentous fungi.,Fungal solid state fermentation using edible filamentous fungi results in a nutrient-enriched food product from bread by increasing the protein content.
Making The Case Against Fur Farming,"Fur farming is a cyclical industry, with high demand in developing economies like China and Russia driving the industrys expansion. However, fur-bearing animals are not domesticated, meaning their welfare is extremely poor. European public opinion is generally opposed to fur farming, which has led to the industry creating labels such as Origin Assured. This ensures that the fur comes from a particular source country, but it does nothing to describe welfare conditions on the farm."
The Environmental Impact Of Mink Fur Production,Fur has a much higher environmental impact than other common textiles.
"Fur Farming: Bad for Mink, Bad for the Environment","Fur production is a destructive endeavor, with impacts on the environment worse than textiles."
Global Fur Trade Now Worth $15 Billion,"Fur sales have increased in most areas, but growth is highest in Asia."
Daily Livestock Report,Further reductions in meat consumption are likely in the coming years as U.S. adults become more aware of the health benefits of plant-based diets and reduce their intake of unhealthy meats.
Myco-protein from Fusarium venenatum: a well-established product for human consumption,"Fusarium venenatum is a fungus that is used to produce myco-protein, which is a protein source for humans. Myco-protein has been shown to have health benefits, and there are plans to start selling it in Europe."
Climate Change And American Bullfrog Invasion,"Future climate conditions will allow for a bullfrog invasion in South America, but some management and policy strategies could prevent this."
The Animal Tracker (Wave 2 – March 2009),"Gallup found that 64% of Americans have a favorable opinion of the animal protection (AP) movement, which is ranked third among the causes/movements listed."
Nearly Half In U.S. Say Gov’t Environmental Efforts Lacking,Gallup polls have shown that the majority of Americans think the government isnt doing enough to protect the environment.
Mounting Opposition To Vivisection,Gallups Values and Beliefs poll has shown that opposition to animal testing is on the rise.
Gallup Poll Social Series: Values and Beliefs 2011,"Gallups finds that Americans have less support for morally controversial behaviors such as doctor-assisted suicide, abortion, having a baby outside of marriage, buying and wearing clothing made of animal fur, gay or lesbian relations and medical testing on animals."
Cruel Or Cool? Analyzing Australian Views On Animal Gambling,"Gambling on animal sports has been widespread in Australia since settlers arrived, but is defended primarily on economic grounds."
DNA Barcoding and the Sale of ‘Game Meat’ in the U.S.,"Game meat products are often mislabeled, with one in five products containing meat from an endangered or threatened animal."
Feasibility of collection and analysis of microbiome data in a longitudinal randomized trial of community gardening.,"Gardening does not have any statistically significant effects on participant microbiome, but the analysis pipeline is useful for assessing the pathway between microbiota, gardening and health outcomes."
Analysis of gastric microbiome reveals three distinctive microbial communities associated with the occurrence of gastric cancer.,"Gastric microbial dysbiosis were reported to be associated with gastric cancer (GC). This study used published datasets to explore the variation, diversity, and composition patterns of gastric bacteria in stages of gastric carcinogenesis. Three bacterial communities were identified which featured the high abundance of Helicobacter. The distribution of GC-associated bacteria, such as Fusobacterium, Peptostreptococcus, Streptococcus, and Veillonella were enriched in tumor tissues, and mainly distributed in GT-F type microbial communities. Compared with SG, AG, and IM, the bacterial diversity in GC was significantly reduced. The strength of microbial interaction networks was initially increased in IM but gradually decreased from IN to GC. In addition, Randomforest models constructed in GT-H and GT-F microbial communities showed excellent performance in distinguishing GC from SG and precancerous stages. This study provides insights into the potential key bacteria in the development of gastric carcinogenesis."
Sexual identities and participation in liberal and conservative social movements.,Gays and lesbians are more likely to participate in social movements than heterosexuals.
Mycobiota composition and changes across pregnancy in patients with gestational diabetes mellitus (GDM).,GDM patients have a fungal mycobiota which is more dominated by species with potential inflammatory effects.
Comparison of Gut Microbiota Diversity Between Captive and Wild Tokay Gecko (Gekko gecko).,Geckos have different gut microbiota compositions between captive and wild populations.
Edible films for cultivated meat production,"Gelatin, soy, glutenin, zein, cellulose, alginate, konjac, chitosan films were fabricated without toxic cross-linking or stabilizing agents and showed better cell adhesion than polysaccharide-based films."
The Gender Gap In Youth Attitudes On Animal Research,"Gender has the greatest total effect on opposition to animal research, while feminist attitudes have the second greatest total effect."
"MEN, MEAT, AND MARRIAGE: MODELS OF MASCULINITY","Gender permeates all aspects of life, including foodlife, and can be examined using singular and multiple models of genderedness."
"GenePiper, a Graphical User Interface Tool for Microbiome Sequence Data Mining.",GenePiper is an open-source application that allows users to analyse microbiome data in a variety of ways.
Roasted Meats Among Most Popular Comfort Foods: Survey,"Generation Y associates more healthful foods with comfort food, in comparison to older age groups."
A Behavioral Approach to the Tourism Consumer Decisions of Generation Z.,Generation Z is more interested in sustainable tourism destinations that are less polluted and have been recycled.
Does generic entry always increase consumer welfare?,Generic entry into a therapeutic category has a negative overall impact on consumer welfare.
Size of the direct-to-consumer genomic testing market.,Genetic susceptibility tests for complex diseases are not as popular as previously thought.
Tweaking The Experiments: Most People Now Accept The Growing Use Of Genetically Modified Mice,"Genetically modified animals now represent the majority of animals used in experiments, and people are becoming more accepting of using animals in research."
"Activism for medical geographers: American, British and Canadian viewpoints.",Geographers face personal and disciplinary costs when advocating for public health issues.
Does Empathy Vary By Region?,Geographic variations in empathy were found across the United States.
Entrepreneurs in Brown Skins? Performing Matter into Contemporary Black Lives.,"George Floyd was murdered, leading to protests and a rise in African American creatives speaking about black matters."
The Prebiotic Potential of Geraniin and Geraniin-Enriched Extract against High-Fat-Diet-Induced Metabolic Syndrome in Sprague Dawley Rats.,Geraniin has prebiotic properties that improve metabolic syndrome markers.
"Plant-Based Only: Investigating Consumers’ Sensory Perception, Motivation, and Knowledge of Different Plant-Based Alternative Products on the Market","German consumers generally like the sensory profile of plant-based meat, cheese, and milk."
Relation between Intensity of Biocide Practice and Residues of Anticoagulant Rodenticides in Red Foxes (Vulpes vulpes),German foxes were found to be exposed to rodenticides at levels that could have negative effects.
The transformative innovation potential of cellular agriculture: Political and policy stakeholders’ perceptions of cultured meat in Germany,"German stakeholders perceive that cellular agriculture has transformative potential, but are pessimistic about its feasibility in the near future."
Influencing Factors for Sustainable Dietary Transformation—A Case Study of German Food Consumption,Germanys food markets have little impact on consumer dietary choices.
Succession of Gut Microbial Structure in Twin Giant Pandas During the Dietary Change Stage and Its Role in Polysaccharide Metabolism.,Giant pandas during the dietary transition process had a complex gut microbial diversity and structure.
"Gifts, emotions and cognitive processes: an inquiry of gift receiving from a consumer psychology perspective",Gift exchange is a universal tool for social integration and communication.
"Effects of Dietary Glucose Oxidase Supplementation on the Performance, Apparent Ileal Amino Acids Digestibility, and Ileal Microbiota of Broiler Chickens.","Glucose oxidase supplementation improved growth performance in broilers, although the supplementation increased AIDs."
"Effects of microwave heating on the protein structure, digestion properties and Maillard products of gluten","Gluten is heat treated with microwave and undergoes significant structural changes, leading to nutritional deficiencies and food safety risks."
Identification of water use behavior and calculation of water footprint: a case study.,Graduate and undergraduate students at Boğaziçi University self-administered a survey measuring their water footprint.
Cross-Sectional Survey of Graduate Clinical Nutrition Students Describing Dietary Choices and Recommendations.,Graduate-level nutrition students in the US follow a Whole Foods/Unprocessed diet most often and would recommend it to future clients.
Coping with managed care: responding to the needs of the elderly. Grantmakers In Health.,"Grantmakers in Health brought together experts to discuss consumer information, tools and models for managed care within the Medicare program."
"Establishment, characterization, and transfection potential of a new continuous fish cell line (CAM) derived from the muscle tissue of grass goldfish (Carassius auratus)",Grass goldfish cells can be successfully derived from fish muscle and are very sensitive to trypsinization. This allows for the derivation of a new continuous fish cell line which can be used for studies into cell-based artificial fish meat production and functional studies of fish myogenesis-related genes.
Grazing Affects Bacterial and Fungal Diversities and Communities in the Rhizosphere and Endosphere Compartments of Leymus chinensis through Regulating Nutrient and Ion Distribution.,Grazing increased bacterial diversity but reduced fungal diversity in plant leaves.
"Dissecting grilled red and white meat flavor: Its characteristics, production mechanisms, influencing factors and chemical hazards",Grilling produces a variety of flavorful compounds that are important for quality and safety.
Study Finds Purchasing Behavior Reaching New Balance,Grocery store meat purchases are on the rise for the first time in three years.
Economy Impacts Meat Case,"Grocery stores are seeing a decline in meat sales, with particular reductions in meat purchases by people who usually buy it."
Unselective Transport of Phytopathogenic Fusarium Fungi from Litter and Soil by Ground-Dwelling Arthropods Links Semi-Natural and Agricultural Habitats.,Ground-dwelling arthropods are important for the distribution of Fusarium fungi.
Popcorn And Wheek: British Guinea Pigs Are Doing Well,"Guinea pigs mostly live in groups and have good welfare when provided with sufficient space, companionship, and a healthy diet."
Closely related gull species show contrasting foraging strategies in an urban environment.,"Gulls of different species use different habitats in an urban area, with great black-backed gulls foraging primarily in marine habitats and herring gulls foraging primarily in specific urban habitats."
Infant gut bacterial community composition and food-related manifestation of atopy in early childhood.,Gut bacterial composition is associated with IgE-FA in children.
"Translational Approaches with Antioxidant Phytochemicals against Alcohol-Mediated Oxidative Stress, Gut Dysbiosis, Intestinal Barrier Dysfunction, and Fatty Liver Disease.","Gut dysbiosis, impaired intestinal barrier function, and elevated serum endotoxin levels can be observed in human patients and/or experimental rodent models exposed to these factors or with certain disease states."
The Impact of Migration on the Gut Metagenome of South Asian Canadians.,Gut metagenomic analysis of SAs in Canada and immigrants found that community composition was primarily influenced by high abundance taxa.
Recent insights into the role of microbiome in the pathogenesis of obesity.,"Gut microbiota has multiple effects on obesity, including both healthy and obesogenic effects."
The Gut Microbiota May Affect Personality in Mongolian Gerbils.,Gut microbiota is correlated with personality traits in Mongolian gerbils.
"Utility Function and Optimum Consumption in the models with Habit
 Formation and Catching up with the Joneses","Habit formation preferences in a free market are not reflected by models used to predict consumer behavior.
The paper introduces a theoretically justified utility specification to explain habit formation preferences, and shows that this is not reflected by the exponential CRRA utility function often used in models predicting consumer behavior."
The Industrial Production Of Halal And Kosher Red Meat,"Halal and kosher slaughter involves different methods of stunning animals before slaughter, with halal requiring that they be alive but not conscious, while kosher requires that they be both alive and conscious. This paper provides a thorough review of the technologies used in halal and kosher slaughter and the associated animal welfare concerns."
Capturing consumer value and clustering customer preferences in the Indonesian halal beef market.,Halal beef consumers consist of four clusters and zero residues are the most important attribute.
Beyond The Headlines – Meat Case Metrics,"Half of consumers are purchasing cheaper cuts of meat, while others still purchase premium types of meat because they are dining out less frequently."
Diversity and Biocontrol Potential of Cultivable Endophytic Bacteria Associated with Halophytes from the West Aral Sea Basin.,Halophytes are an important source for the selection of microbes that may protect plant from soil-borne pathogens.
"Antioxidant-rich spice added to hamburger meat during cooking results in reduced meat, plasma, and urine malondialdehyde concentrations",Hamburger meat cooked inside increases the formation of malondialdehyde which can be absorbed after ingestion.
Hampton Revisiting Animal Tethering Proposal,"Hampton City Council is considering a ban on tethering animals outside, with requirements for permit and house inspection."
Comparison of proliferation and differentiation of Hanwoo muscle satellite cells and C2C12 myoblast cells according to culture temperature,Hanwoo muscle satellite cells proliferate better at 37 degrees Celsius than they do at 39 degrees Celsius.
Age as a primary driver of the gut microbial composition and function in wild harbor seals.,Harbor seals in Mexico show variation in gut microbiota composition based on age and sex.
Beneficial Effects Of Companion Animal Ownership,Having a companion animal can improve health and behavior.
Companion Animals As Safe Havens,"Having a companion animal present or thinking about one, results in more life goals and confidence in goal attainment."
Understanding health advocacy in family medicine and psychiatry curricula and practice: A qualitative study,"Health advocacy is relational and often involves crossing boundaries between patients, health care professionals, and community/organization."
Consumer advocacy in Medicare HMOs.,Health care costs are increasing and driving people into health maintenance organizations.
